946;-226;922
945;-230;893
945;-234;871
;;
944;-241;
945;-247;
945;-251;
944;-257;722
944;-260;
944;-264;
944;-264;
944;-270;
;;
944;-287;
944;-293;580
944;-293;565
944;-299;
944;-304;523
944;-310;509
944;-316;496
945;-323;484
945;-323;
944;-329;449
945;-335;
944;-342;416
944;-349;
944;-349;
945;-356;365
945;-362;358
944;-369;347
945;-377;339
945;-383;330
945;-383;321
945;-390;312
946;-399;303
945;-405;295
;;287
;;280
;;272
940;-357;264
939;-336;
938;-311;242
936;-295;236
936;-295;229
935;-276;222
933;-260;216
;;210
929;-213;202
929;-213;198
927;-200;
926;-187;181
925;-174;
923;-162;165
922;-153;
922;-153;151
921;-140;146
919;-132;
917;-121;134
917;-111;
915;-103;
915;-103;
915;-95;
912;-88;106
912;-83;
909;-71;
909;-67;
909;-67;
908;-62;
906;-57;
904;-53;
904;-48;
904;-48;
;;
;;
897;-38;
896;-36;
896;-36;
894;-36;
;;
;;
;;
886;-34;
885;-35;
883;-37;
881;-38;
879;-40;
876;-43;
876;-43;
874;-46;
871;-50;
868;-56;
866;-61;818
;;851
;;886
859;-86;917
857;-94;
854;-104;
853;-114;
853;-114;
;;
844;-152;
842;-165;
839;-179;
839;-179;
836;-195;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;1453
;;1464
;;1475
;;
;;1510
;;1519
;;
;;
;;
;;
;;
;;1607
;;1618
;;
;;
;;
;;1662
;;1666
;;1673
;;1681
;;1688
;;1696
;;1702
;;1709
;;
;;
;;1684
;;1679
;;1652
;;1628
;;
;;1574
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;1387
;;1368
;;1352
;;1323
;;1323
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;1752
;;
;;
;;
;;
;;1791
;;1786
;;1783
;;1809
;;1808
;;1807
;;
;;1803
;;1794
;;
;;
;;
;;
;;1787
;;
;;1765
;;1764
;;1762
;;1761
;;
;;
846;-456;
852;-433;
858;-411;
864;-388;
864;-388;
869;-367;
873;-347;
878;-328;
883;-309;
889;-292;
889;-292;
894;-275;
898;-260;
904;-243;
908;-230;
912;-217;
912;-217;
918;-204;
922;-190;
927;-180;
931;-169;
935;-158;
935;-158;
940;-148;
944;-138;
949;-130;
952;-121;
952;-121;
957;-113;
961;-106;
966;-100;
969;-93;
974;-87;
974;-87;
977;-83;
;;
990;-67;
994;-66;1264
994;-66;
998;-63;
1002;-61;
1006;-59;1327
1010;-57;
1014;-56;1351
1014;-56;1359
1017;-56;1367
1022;-56;1375
1026;-57;1382
1030;-58;1389
1034;-60;1395
1034;-60;1402
;;
1045;-70;
1050;-77;
1054;-82;1445
1054;-82;1450
1057;-87;1456
1061;-94;1461
1064;-103;1467
1068;-111;1474
1072;-120;
1072;-120;
1076;-130;1503
1080;-142;
1084;-154;1521
1088;-166;1525
1092;-178;1530
1092;-178;
1096;-191;1546
1100;-205;1551
1104;-221;1555
1109;-237;1561
1109;-237;
1112;-254;1573
;;1578
;;1584
;;
;;1595
;;1601
;;
1039;-316;
1021;-312;
1007;-311;1573
1006;-311;1572
993;-311;1199
982;-311;
971;-313;
960;-315;1129
951;-316;1116
951;-316;
943;-319;
935;-322;
928;-326;
923;-329;
918;-332;
918;-332;
911;-334;
907;-339;
903;-343;
899;-347;
895;-351;
895;-351;
890;-356;
887;-361;
884;-366;
881;-371;
878;-377;
878;-377;
875;-383;
872;-390;
870;-395;
868;-401;
866;-407;
866;-407;
864;-414;
862;-421;
860;-427;
858;-435;
858;-435;
857;-441;
856;-448;
854;-455;1094
853;-463;
852;-470;
852;-470;
851;-476;994
850;-489;
849;-495;
848;-502;
848;-510;
848;-510;875
847;-518;
846;-527;817
846;-535;819
844;-543;823
844;-552;
844;-552;784
;;749
842;-577;761
842;-585;731
841;-593;728
