701 ; 604 ; -891
696 ; 618
690 ; 631 ; -981
686 ; 642
682 ; 651
678 ; 659
678 ; 659
675 ; 667
671 ; 673
669 ; 678
666 ; 683
664 ; 686
664 ; 686 ; -1311
662 ; 689
660 ; 692
658 ; 695 ; -1370
656 ; 697 ; -1381
654 ; 699 ; -1395
654 ; 699
653 ; 699 ; -1433
651 ; 700 ; -1444
650 ; 701 ; -1455
649 ; 701
648 ; 701 ; -1488
648 ; 701 ; -1498
647 ; 700 ; -1509
646 ; 699 ; -1517
645 ; 698 ; -1527
644 ; 697 ; -1535
642 ; 695 ; -1547
642 ; 695 ; -1555
642 ; 693
641 ; 691 ; -1582
641 ; 689 ; -1592
640 ; 686
640 ; 684 ; -1615
640 ; 684 ; -1623
639 ; 681 ; -1630
639 ; 678 ; -1637
638 ; 675 ; -1643
638 ; 670 ; -1654
637 ; 666
637 ; 666
637 ; 661
636 ; 657
636 ; 654
636 ; 650 ; -1707
637 ; 643
637 ; 643
636 ; 639 ; -1731
636 ; 634 ; -1736
636 ; 629 ; -1740
636 ; 623 ; -1745
636 ; 623 ; -1749
637 ; 617 ; -1753
637 ; 612 ; -1756
637 ; 607
636 ; 601 ; -1776
636 ; 595
636 ; 595
636 ; 587
636 ; 582
636 ; 575
636 ; 570
637 ; 562
637 ; 562
638 ; 556
637 ; 548
638 ; 541
638 ; 535
637 ; 527
637 ; 527
638 ; 521
638 ; 514
640 ; 496
640 ; 495
624 ; 493
624 ; 493
616 ; 490
590 ; 477
581 ; 472
581 ; 472
574 ; 468
564 ; 461
557 ; 456
551 ; 450
543 ; 444
543 ; 444
537 ; 440
516 ; 420
507 ; 413
507 ; 413
502 ; 404
498 ; 396 ; -728
492 ; 388 ; -728
488 ; 379 ; -683
488 ; 378 ; -652
483 ; 370 ; -628
477 ; 361
471 ; 349
467 ; 340
459 ; 328
459 ; 329
454 ; 317
448 ; 306
443 ; 291
437 ; 279
431 ; 265
431 ; 265
426 ; 250 ; -571
421 ; 236 ; -568
