800  ;  423  ;  -1265;1
799  ;  427  ;  -1275;1
798  ;  431  ;  -1284;1
797  ;  435  ;  -1294;1
796  ;  439  ;  -1303;1
795  ;  443  ;  -1311;1
794  ;  449  ;  -1319;1
794  ;  449  ;  -1332;1
793  ;  449  ;  -1345;1
791  ;  449  ;  -1352;1
790  ;  448  ;  -1360;1;3
788  ;  448  ;  -1370;1
787  ;  448  ;  -1380;1
787  ;  448  ;  -1388;1
784  ;  448  ;  -1395;1
784  ;  447  ;  -1401;1;2
781  ;  447  ;  -1405;1;2
780  ;  447  ;  -1416;1
778  ;  447  ;  -1427;1
778  ;  447  ;  -1433;1
777  ;  447  ;  -1439;1;2
774  ;  446  ;  -1445;1;2
773  ;  447  ;  -1450;1;2
772  ;  447  ;  -1455;1;2
772  ;  447  ;  -1459;1;1
771  ;  447  ;  -1464;1;1
770  ;  447  ;  -1472;1
769  ;  447  ;  -1479;1
768  ;  448  ;  -1483;1
768  ;  448  ;  -1488;1;1
767  ;  448  ;  -1494;1
767  ;  448  ;  -1500;1
767  ;  449  ;  -1502;1
767  ;  449  ;  -1509;1
756  ;  449  ;  -1515;1
745  ;  449  ;  -1518;1
734  ;  449  ;  -1521;1
723  ;  449  ;  -1525;1
712  ;  449  ;  -1528;1
701  ;  449  ;  -1530;1
692  ;  449  ;  -1533;1
700  ;  449  ;  -1535;1
708  ;  449  ;  -1510;2
716  ;  449  ;  -1485;2
724  ;  449  ;  -1460;2
732  ;  449  ;  -1435;2
740  ;  449  ;  -1410;2
748  ;  449  ;  -1385;2
756  ;  449  ;  -1360;2
764  ;  449  ;  -1335;2
772  ;  449  ;  -1310;2
780  ;  449  ;  -1285;2
788  ;  449  ;  -1260;2
796  ;  449  ;  -1235;2
804  ;  449  ;  -1210;2
812  ;  449  ;  -1185;2
820  ;  449  ;  -1160;2
835  ;  456  ;  -1135;2
832  ;  468  ;  -1110;2
829  ;  480  ;  -1085;2
826  ;  492  ;  -1060;2
823  ;  504  ;  -1035;2
820  ;  516  ;  -1010;2
817  ;  528  ;  -980;2
814  ;  540  ;  -947;2
811  ;  552  ;  -914;2
812  ;  566  ;  -884;2
813  ;  558  ;  -855;2
813  ;  551  ;  -826;2;12
814  ;  543  ;  -803;2;11
815  ;  535  ;  -778;2;10
815  ;  535  ;  -754;2;10
815  ;  527  ;  -734;2;9
816  ;  519  ;  -712;2;9
816  ;  503  ;  -688;2
825  ;  510  ;  -664;2
834  ;  518  ;  -640;2
846  ;  525  ;  -616;2
855  ;  529  ;  -592;2
862  ;  533  ;  -568;2
870  ;  537  ;  -544;2
878  ;  541  ;  -520;2
878  ;  541  ;  -507;2
887  ;  544  ;  -495;2;5
895  ;  546  ;  -479;2
901  ;  549  ;  -462;2
909  ;  551  ;  -452;2
917  ;  551  ;  -441;2;4
917  ;  551  ;  -431;2;4
923  ;  553  ;  -422;2;4
931  ;  553  ;  -444;3
938  ;  553  ;  -465;3
943  ;  552  ;  -493;3
951  ;  551  ;  -519;3;11
951  ;  551  ;  -553;3
958  ;  550  ;  -587;3
965  ;  548  ;  -608;3
974  ;  544  ;  -629;3;8
980  ;  541  ;  -650;3;8
987  ;  537  ;  -668;3;8
987  ;  537  ;  -687;3;7
994  ;  533  ;  -705;3;7
1001  ;  528  ;  -722;3;7
1009  ;  522  ;  -740;3;7
1014  ;  516  ;  -756;3;7
1022  ;  508  ;  -772;3;7
1022  ;  508  ;  -787;3;6
1031  ;  499  ;  -810;3
1037  ;  492  ;  -832;3
1043  ;  482  ;  -846;3
1050  ;  471  ;  -867;3
1058  ;  459  ;  -888;3
1066  ;  447  ;  -909;3
1075  ;  437  ;  -920;3
